Cluster,X,Y
0,10,40
0,6,38
0,5,30
0,11,31
0,15,30
0,17,34
0,17,37
0,20,40
1,50,35
1,54,34
1,45,30
2,25,24
2,25,24
2,30,25
2,36,26
3,41,37
3,39,44
3,43,47
3,47,47
3,53,43
3,49,42
4,29,21
4,24,12
4,26,3
4,30,5
4,32,12
4,32,18
4,29,27
5,25,30
5,22,27
5,20,26
5,18,24
5,19,22
5,20,21
5,20,20
6,52,45
6,54,46
6,53,52
6,52,58
6,55,60
6,55,54
6,61,52
6,63,52
7,35,69
7,27,69
7,17,75
7,6,68
7,2,60
7,5,56
7,5,47
8,29,40
8,26,35
9,47,16
9,52,13
9,53,12
9,55,5
9,67,5
9,63,13
9,65,20
9,63,23
10,21,25
10,21,24
10,19,21
10,15,19
10,12,24
10,10,20
10,7,16
10,11,14
10,8,5
10,15,10
11,63,65
11,63,74
11,58,71
11,49,70
11,45,65
11,40,60
11,37,56
11,31,52
12,55,23
12,57,29
12,62,37
12,61,42
12,56,39
13,37,31
13,40,25
13,45,20
13,44,17
13,46,13
13,45,10
13,45,9
14,35,40
14,26,52
14,20,50
14,15,47
14,13,52
14,15,60
14,18,62
14,24,58
14,31,64
14,30,60
